Rank,Name,State,2018 Population,2016 Population,2010 Census,Change,2018 Density
1,New York ,New York,8580015,8537673,8175133,0.002473582,11029.23213
2,Los Angeles,California,4030668,3976322,3792621,0.00678732,3320.644797
3,Chicago ,Illinois,2687682,2704958,2695598,-0.003203626,4564.612213
4,Houston ,Texas,2340814,2303482,2099451,0.008038247,1419.917805
5,Phoenix,Arizona,1679243,1615017,1445632,0.019496336,1252.474383
6,Philadelphia,Pennsylvania,1573688,1567872,1526006,0.00185131,4528.337442
7,San Antonio ,Texas,1541456,1492510,1327407,0.016132679,1291.083266
8,San Diego,California,1438060,1406630,1307402,0.011048656,1709.720503
9,Dallas ,Texas,1359133,1317929,1197816,0.0153915,1543.608793
10,San Jose,California,1030796,1025350,945942,0.002648645,2242.032634
11,Austin ,Texas,983366,947890,790390,0.018369393,1183.5925
12,Jacksonville,Florida,907529,880619,821784,0.01504909,468.6694809
13,Fort Worth ,Texas,893997,854113,741206,0.022815498,1001.075032
14,San Francisco,California,888653,870887,805235,0.010096957,7314.913095
15,Columbus ,Ohio,880182,860090,787033,0.011545322,1554.604787
16,Charlotte,North Carolina,873363,842051,731424,0.01825332,1101.358345
17,Indianapolis,Indiana,860902,855164,820445,0.003343694,919.6280072
18,Seattle,Washington,746046,704352,608660,0.028746592,3435.964326
19,Denver,Colorado,719116,693060,600158,0.018450958,1811.111426
20,Washington DC DC,District of Columbia,702756,681170,601723,0.015597655,4437.945855
21,El Paso,Texas,692100,683080,649121,0.006559141,1038.335953
22,Boston,Massachusetts,687584,673184,617594,0.010582259,5491.46865
23,Nashville,Tennessee,673008,660388,601222,0.009464555,545.9765368
24,Detroit,Michigan,665713,672795,713777,-0.005290966,1852.910235
25,Portland ,Oregon,658347,639863,583776,0.014238066,1904.61792
26,Oklahoma City ,Oklahoma,653865,638367,579999,0.011993202,416.3896875
27,Las Vegas,Nevada,653840,632912,583756,0.016264206,1873.484758
28,Memphis,Tennessee,649243,652717,646889,-0.002668285,789.804223
29,Louisville,Kentucky,619287,616261,597337,0.002449116,906.7640361
30,Baltimore,Maryland,601188,614664,620961,-0.011083586,2867.667346
31,Milwaukee ,Wisconsin,586315,595047,594833,-0.007391468,2353.95623
32,Albuquerque,New Mexico,562935,559277,545852,0.003259634,1161.109276
33,Tucson,Arizona,535236,530706,520116,0.004249762,871.8918042
34,Fresno,California,529153,522053,494665,0.006754147,1799.07392
35,Sacramento,California,507298,495234,466488,0.012033531,2006.190258
36,Mesa,Arizona,497275,484587,439041,0.012922386,1391.283045
37,Kansas City ,Missouri,494536,481420,459787,0.01343913,606.3774302
38,Atlanta ,Georgia,491626,472522,420003,0.019814385,1422.565306
39,Colorado Springs,Colorado,484233,465101,416427,0.020153076,959.7734471
40,Miami,Florida,479009,453579,399457,0.027268204,5139.267344
41,Raleigh ,North Carolina,476746,458880,403892,0.019095237,1268.818104
42,Long Beach,California,467512,470130,462257,-0.00279211,3588.351312
43,Virginia Beach,Virginia,454098,452602,437994,0.001649939,716.4419013
44,Omaha,Nebraska,450364,446970,408958,0.003782315,1261.748864
45,Oakland,California,424275,420005,390724,0.005057564,2930.680116
46,Minneapolis,Minnesota,420721,413651,382578,0.008473439,3008.126047
47,Tulsa ,Oklahoma,403060,403090,391906,-3.72139E-05,787.8952609
48,Arlington,Texas,401248,392772,365438,0.010674794,1617.077103
49,New Orleans,Louisiana,395009,391495,343829,0.004467873,900.1749221
50,Tampa,Florida,394507,377165,335709,0.022473279,1343.009941
51,Wichita,Kansas,391586,389902,382368,0.002154864,941.3477417
52,Bakersfield,California,384188,376380,347483,0.010266012,990.846684
53,Cleveland,Ohio,381803,385809,396815,-0.005218782,1897.24475
54,Aurora ,Colorado,368518,361710,325078,0.009323116,926.713333
55,Anaheim,California,354553,351043,336265,0.004974518,2742.247138
56,Honolulu,Hawaii,351280,351792,337256,-0.000728233,2240.126484
57,Santa Ana,California,334613,334217,324528,0.000592079,4759.326809
58,Riverside,California,331606,324722,303871,0.010488658,1575.751078
59,Corpus Christi ,Texas,328183,325733,305215,0.003746659,725.8919884
60,Lexington-Fayette,Kentucky,325813,318449,295803,0.011430132,443.5147082
61,Stockton,California,312080,307072,291707,0.008088482,1953.317294
62,Henderson,Nevada,309155,292969,257729,0.026881506,1139.82918
63,St. Paul,Minnesota,308138,302398,285068,0.009401575,2289.067733
64,St. Louis,Missouri,304462,311404,319294,-0.011271933,1897.39796
65,Pittsburgh,Pennsylvania,303147,303625,305704,-0.000787775,2113.644161
66,Cincinnati,Ohio,299092,298800,296943,0.000488383,1482.140118
67,Anchorage,Alaska,297952,298192,291826,-0.000402587,67.41701661
68,Plano ,Texas,291671,286057,259841,0.009717376,1571.353539
69,Orlando,Florida,290553,277173,238300,0.023567707,1066.165011
70,Greensboro,North Carolina,290519,287027,269666,0.006046272,872.86351
71,Lincoln,Nebraska,287870,280364,258379,0.013209347,1196.254032
72,Irvine,California,286720,266122,212375,0.037258385,1688.012431
73,Newark,New Jersey,283092,281764,277140,0.002351042,4527.19645
74,Toledo,Ohio,276172,278508,287208,-0.004211437,1321.398261
75,Durham ,North Carolina,274006,263016,228330,0.020464711,958.8989092
76,Chula Vista,California,271434,267172,243916,0.00791302,2111.549453
77,St. Petersburg,Florida,269645,260999,244769,0.01629341,1685.382794
78,Fort Wayne,Indiana,267852,264488,253691,0.00631927,934.8296597
79,Jersey City,New Jersey,264720,264152,247597,0.001073984,6908.465211
80,Laredo,Texas,262034,257156,236091,0.009395404,972.1082823
81,Madison,Wisconsin,260427,252551,233209,0.015353485,1305.573842
82,Scottsdale,Arizona,260189,246645,217385,0.026722753,546.132617
83,Lubbock,Texas,260188,252506,229573,0.014983596,786.7224682
84,Chandler,Arizona,254773,247477,236123,0.01452663,1514.059925
85,Reno,Nevada,254431,245255,225221,0.018363532,904.0828121
86,Buffalo,New York,254004,256902,261310,-0.005672276,2428.548055
87,Glendale,Arizona,251269,245895,226721,0.01080931,1630.92571
88,North Las Vegas,Nevada,247680,238702,216961,0.018458742,975.6604238
89,Gilbert,Arizona,246601,237133,208453,0.01957274,1399.975174
90,Winston-Salem,North Carolina,245549,242203,229617,0.006860044,715.5242129
91,Norfolk,Virginia,243085,245115,242803,-0.004158132,1761.666333
92,Chesapeake,Virginia,242958,237940,222209,0.010434645,277.1159237
93,Irving,Texas,242873,238289,216290,0.009526937,1398.514381
94,Fremont,California,236566,233136,214089,0.007302502,1179.098266
95,Hialeah,Florida,235081,236387,224669,-0.002770071,4226.314094
96,Garland ,Texas,232421,234943,226876,-0.005396222,1573.299262
97,Richmond,Virginia,230254,223170,204214,0.015623346,1483.846075
98,Boise City,Idaho,228900,223154,205671,0.012710871,1078.027372
99,Baton Rouge,Louisiana,226505,227715,229493,-0.002663907,1017.867311
100,Spokane,Washington,221759,215973,208916,0.013218133,1245.101203
